City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Jamestown,US,80.19,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
3,Barcelos,PT,86.92,scattered clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
5,Atuona,PF,77.95,few clouds,-9.8,-139.0333,Villa Enata
7,Bengkulu,ID,76.44,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
10,Vaini,TO,75.74,broken clouds,-21.2,-175.2,Keleti Beach Resort
13,Sensuntepeque,SV,82.22,scattered clouds,13.8667,-88.6333,Hotel Las Palmas
18,Manavalakurichi,IN,79.5,overcast clouds,8.1333,77.3,Jebinrio home
21,Port Elizabeth,ZA,77.09,clear sky,-33.918,25.5701,39 On Nile Guest House
24,Hami,CN,83.25,clear sky,42.8,93.45,Laoyutang Resort
25,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
28,Hilo,US,88.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
33,Fukue,JP,77.02,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
43,Santa Cruz De Tenerife,ES,83.91,few clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
46,Bandarbeyla,SO,76.84,few clouds,9.4942,50.8122,JABIR HOTEL
47,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
55,San Policarpo,PH,80.44,overcast clouds,12.1791,125.5072,Agapita M. Nicart
57,Aksu,CN,80.02,clear sky,41.1231,80.2644,Pudong Holiday Hotel
58,Bethel,US,87.37,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
59,Saint Anthony,US,89.24,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
66,Urumqi,CN,83.35,broken clouds,43.801,87.6005,Hua Ling Grand Hotel Urumqi
67,Ponta Do Sol,PT,77.13,scattered clouds,32.6667,-17.1,Hotel do Campo
70,Tamiahua,MX,87.35,few clouds,21.2667,-97.45,Mission Of The Sun Hotel
78,Gotsu,JP,75.27,light rain,35.0,132.2167,Yurusato
79,Sao Joao Da Barra,BR,84.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
80,Mount Pleasant,US,87.31,scattered clouds,32.7941,-79.8626,Best Western Patriots Point
81,Kaseda,JP,77.9,light rain,31.4167,130.3167,Sun Stay Kaseda
83,Saint-Georges,GD,80.13,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
94,Puerto Cabezas,NI,85.95,few clouds,14.0351,-83.3888,Cabaña Caribe
96,Alofi,NU,77.86,few clouds,-19.0595,-169.9187,Taloa Heights
103,Bairiki,KI,78.8,light rain,1.3292,172.9752,Tarawa Boutique Hotel
104,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
105,Maragogi,BR,77.02,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
107,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Pirineos
110,Thompson,CA,83.34,few clouds,55.7435,-97.8558,Burntwood Hotel
112,Butaritari,KI,81.77,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
120,Lorengau,PG,81.5,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
121,Sawankhalok,TH,80.08,broken clouds,17.316,99.8319,Boon Bunleng Resort
123,Umm Lajj,SA,86.13,broken clouds,25.0213,37.2685,Moon light Furnished Units
134,Mayo,US,87.91,clear sky,38.8876,-76.5119,Resorts Resource Group International
135,Banda Aceh,ID,79.74,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
145,Sibolga,ID,76.23,clear sky,1.7427,98.7792,Hotel Syariah CN Darussalam
146,Half Moon Bay,US,83.88,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
152,Linfen,CN,81.86,scattered clouds,36.0889,111.5189,Suoxing Hotel
154,Arraial Do Cabo,BR,82.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
157,Jalakandapuram,IN,76.15,overcast clouds,11.6978,77.873,G.R.S MANGO
168,Kamarion,GR,78.1,clear sky,36.8,25.8167,Rooms Eleni
169,Auki,SB,76.35,scattered clouds,-8.7676,160.7034,Auki Motel
177,Hobyo,SO,77.13,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
181,Guilin,CN,79.74,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
182,Buritis,BR,87.31,clear sky,-15.6178,-46.4233,Hotel Rainha do Vale
185,Champerico,GT,84.11,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
190,Bereda,ES,88.41,light rain,43.2686,-7.5406,Pazo de Verdes
191,Rio Esteban,HN,86.05,scattered clouds,15.8333,-86.3,Hotel La Fé
193,Dicabisagan,PH,79.07,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
