City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,80.19,69,20,10.36,few clouds
1,Castro,BR,-24.7911,-50.0119,67.53,68,100,2.04,moderate rain
2,Borogontsy,RU,62.6683,131.1683,68.43,86,98,3.83,light rain
3,Barcelos,PT,41.5388,-8.6151,86.92,53,33,6.55,scattered clouds
4,Pisco,PE,-13.7,-76.2167,65.01,72,3,9.22,haze
5,Atuona,PF,-9.8,-139.0333,77.95,77,21,21.03,few clouds
6,Mandalgovi,MN,45.7625,106.2708,67.78,34,91,8.97,overcast clouds
7,Bengkulu,ID,-3.8004,102.2655,76.44,90,73,3.38,broken clouds
8,Punta Arenas,CL,-53.15,-70.9167,39.31,70,0,27.63,clear sky
9,Lampazos De Naranjo,MX,27.0167,-100.5167,97.16,22,3,9.31,clear sky
10,Vaini,TO,-21.2,-175.2,75.74,65,84,20.11,broken clouds
11,Rocha,UY,-34.4833,-54.3333,53.08,55,0,14.07,clear sky
12,Luderitz,NA,-26.6481,15.1594,67.75,41,9,5.26,clear sky
13,Sensuntepeque,SV,13.8667,-88.6333,82.22,57,28,1.12,scattered clouds
14,Saint George,US,37.1041,-113.5841,102.63,22,0,18.41,clear sky
15,Busselton,AU,-33.65,115.3333,53.15,93,100,13.13,overcast clouds
16,Airai,TL,-8.9266,125.4092,53.1,84,31,2.51,scattered clouds
17,Ushuaia,AR,-54.8,-68.3,42.46,52,40,3.44,scattered clouds
18,Manavalakurichi,IN,8.1333,77.3,79.5,76,100,16.35,overcast clouds
19,Tautira,PF,-17.7333,-149.15,74.89,72,62,14.72,broken clouds
20,Yellowknife,CA,62.456,-114.3525,63.12,82,75,23.02,broken clouds
21,Port Elizabeth,ZA,-33.918,25.5701,77.09,59,0,1.14,clear sky
22,Cap Malheureux,MU,-19.9842,57.6142,70.47,67,38,11.99,scattered clouds
23,Inhambane,MZ,-23.865,35.3833,67.17,85,2,7.83,clear sky
24,Hami,CN,42.8,93.45,83.25,23,8,4.12,clear sky
25,Puerto Ayora,EC,-0.7393,-90.3518,78.76,86,74,5.99,broken clouds
26,Baykit,RU,61.67,96.37,51.66,96,71,3.27,broken clouds
27,Kaitangata,NZ,-46.2817,169.8464,42.12,90,90,3.15,overcast clouds
