City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,35.46,99,100,4.14,AR,2022-07-13 01:00:16
1,Bijar,35.8668,47.6051,67.19,42,9,6.53,IR,2022-07-13 01:01:52
2,Hobart,-42.8794,147.3294,48.25,84,75,5.75,AU,2022-07-13 00:57:29
3,Mecca,21.4267,39.8261,88.65,31,100,3.89,SA,2022-07-13 00:58:31
4,Tuktoyaktuk,69.4541,-133.0374,36.88,94,100,11.3,CA,2022-07-13 01:01:53
5,Vaini,-21.2,-175.2,76.59,73,1,13.53,TO,2022-07-13 01:01:53
6,Hilo,19.7297,-155.09,86.29,90,8,8.01,US,2022-07-13 01:00:24
7,Busselton,-33.65,115.3333,55.31,79,20,8.9,AU,2022-07-13 01:01:54
8,Kulhudhuffushi,6.6221,73.07,81.95,76,97,13.69,MV,2022-07-13 01:01:54
9,Hasaki,35.7333,140.8333,77.4,90,100,6.33,JP,2022-07-13 01:01:54
10,Henties Bay,-22.116,14.2845,54.16,89,0,3.47,NA,2022-07-13 01:01:55
11,Punta Arenas,-53.15,-70.9167,37.11,93,100,6.4,CL,2022-07-13 01:01:55
12,Yellowknife,62.456,-114.3525,67.91,47,0,13.6,CA,2022-07-13 01:01:27
13,Puerto Ayora,-0.7393,-90.3518,70.56,92,13,5.99,EC,2022-07-13 01:01:56
14,Gao,16.6362,1.637,93.43,34,98,8.43,ML,2022-07-13 01:01:56
15,Takestan,36.0696,49.6959,67.14,53,5,6.89,IR,2022-07-13 01:01:56
16,Bluff,-46.6,168.3333,44.8,92,100,22.35,NZ,2022-07-13 01:01:57
17,Kapaa,22.0752,-159.319,84.18,78,3,8.01,US,2022-07-13 01:01:57
18,Nouadhibou,20.931,-17.0347,68.99,80,29,22.79,MR,2022-07-13 01:01:57
19,Nome,64.5011,-165.4064,64.17,56,21,11.45,US,2022-07-13 01:00:46
20,Vestmanna,62.1564,-7.1664,49.12,93,100,20.71,FO,2022-07-13 01:01:58
21,Tasiilaq,65.6145,-37.6368,44.76,81,98,5.39,GL,2022-07-13 01:01:58
22,Sumbe,-11.2061,13.8437,68.04,91,67,5.14,AO,2022-07-13 01:01:59
23,Saskylakh,71.9167,114.0833,47.28,59,100,13.47,RU,2022-07-13 01:01:59
24,Shelburne,44.0787,-80.2041,63.12,88,58,8.19,CA,2022-07-13 01:01:59
25,Gat,31.61,34.7642,75.88,100,0,1.79,IL,2022-07-13 00:58:00
26,Yulara,-25.2406,130.9889,53.04,48,0,13.76,AU,2022-07-13 01:02:00
27,Acajutla,13.5928,-89.8275,79.83,80,65,2.04,SV,2022-07-13 01:02:00
28,Nanortalik,60.1432,-45.2371,41.85,89,2,10.27,GL,2022-07-13 01:00:30
29,Puerto Madero,14.7208,-92.4215,77.09,81,100,10.07,MX,2022-07-13 01:02:01
30,Rikitea,-23.1203,-134.9692,75.13,73,24,12.1,PF,2022-07-13 01:01:41
31,Yuanping,38.7153,112.7575,77.5,72,0,1.66,CN,2022-07-13 01:02:01
32,Husavik,66.0449,-17.3389,42.67,90,100,18.05,IS,2022-07-13 01:02:01
33,Yantzaza,-3.8278,-78.7594,65.68,99,88,0.92,EC,2022-07-13 00:59:17
34,Leshukonskoye,64.8989,45.7622,65.68,81,2,5.06,RU,2022-07-13 01:02:02
35,Soritor,-6.1392,-77.1039,66.47,98,58,1.83,PE,2022-07-13 01:02:02
36,Dikson,73.5069,80.5464,39.79,83,12,1.54,RU,2022-07-13 01:02:03
37,Kortkeros,61.8106,51.5806,68.18,88,97,2.98,RU,2022-07-13 01:02:03
38,Souillac,-20.5167,57.5167,69.37,63,52,12.44,MU,2022-07-13 01:02:03
39,Avarua,-21.2078,-159.775,75.25,73,75,14.97,CK,2022-07-13 01:02:04
40,Bredasdorp,-34.5322,20.0403,46.94,90,2,5.01,ZA,2022-07-13 01:01:48
41,Monterey,36.2505,-121.2516,91.18,33,0,9.57,US,2022-07-13 01:02:04
42,Comodoro Rivadavia,-45.8667,-67.5,41.14,59,0,14.72,AR,2022-07-13 01:02:05
43,Jamestown,42.097,-79.2353,71.71,68,100,5.75,US,2022-07-13 01:02:05
44,Georgetown,5.4112,100.3354,78.73,94,40,0.0,MY,2022-07-13 01:02:05
45,Arraial Do Cabo,-22.9661,-42.0278,71.46,85,52,20.51,BR,2022-07-13 01:01:49
46,Kieta,-6.2167,155.6333,85.55,70,66,7.18,PG,2022-07-13 01:03:06
47,Laguna,38.421,-121.4238,99.45,29,0,17.27,US,2022-07-13 01:03:07
48,Atuona,-9.8,-139.0333,77.77,78,22,19.6,PF,2022-07-13 01:03:07
49,West Lake Stevens,47.9934,-122.1018,82.24,62,0,16.11,US,2022-07-13 01:03:08
50,Castro,-24.7911,-50.0119,52.12,79,20,1.63,BR,2022-07-13 01:03:08
51,Fortuna,40.5982,-124.1573,66.85,82,75,7.83,US,2022-07-13 01:03:08
52,Mataura,-46.1927,168.8643,44.47,98,100,6.91,NZ,2022-07-13 01:03:09
53,Norman Wells,65.282,-126.8329,59.77,78,100,12.5,CA,2022-07-13 01:03:09
54,Zhumadian,32.9794,114.0294,88.14,69,92,3.22,CN,2022-07-13 01:03:09
55,Talnakh,69.4865,88.3972,49.21,45,24,19.48,RU,2022-07-13 01:03:10
56,Ternate,0.8,127.4,81.3,74,83,4.79,ID,2022-07-13 01:03:10
57,Kruisfontein,-34.0033,24.7314,50.97,52,0,7.27,ZA,2022-07-13 01:03:10
58,Mehamn,71.0357,27.8492,66.15,63,100,11.5,NO,2022-07-13 01:03:11
59,Lagoa,39.05,-27.9833,69.04,92,100,9.89,PT,2022-07-13 01:03:11
60,Faya,18.3851,42.4509,67.98,33,100,7.92,SA,2022-07-13 01:03:11
61,Ribeira Grande,38.5167,-28.7,70.23,91,96,8.7,PT,2022-07-13 01:00:07
62,Mandera,3.9366,41.867,75.09,52,93,18.81,KE,2022-07-13 01:03:12
63,Cabo San Lucas,22.8909,-109.9124,87.62,64,0,11.86,MX,2022-07-13 01:00:04
64,Erdenet,49.0333,104.0833,62.74,59,0,5.23,MN,2022-07-13 01:03:13
65,Agadez,19.75,10.25,91.35,18,91,13.67,NE,2022-07-13 01:03:13
66,Nikolskoye,59.7035,30.7861,63.81,98,19,4.76,RU,2022-07-13 01:03:13
67,Lebu,-37.6167,-73.65,48.06,72,100,6.22,CL,2022-07-13 01:03:09
68,Port Alfred,-33.5906,26.891,57.51,62,0,10.29,ZA,2022-07-13 01:03:14
69,Butaritari,3.0707,172.7902,82.44,71,100,18.01,KI,2022-07-13 01:03:14
70,Cambridge,43.3601,-80.3127,73.13,72,18,8.03,CA,2022-07-13 01:00:11
71,Siniscola,40.5719,9.6922,69.35,62,0,4.47,IT,2022-07-13 01:03:15
72,Provideniya,64.3833,-173.3,51.91,82,0,15.99,RU,2022-07-13 01:03:15
73,Chuy,-33.6971,-53.4616,41.22,82,0,4.97,UY,2022-07-13 01:03:16
74,Xuddur,4.1213,43.8894,68.59,61,40,18.66,SO,2022-07-13 01:00:52
75,Bosaso,11.2842,49.1816,87.44,41,78,26.02,SO,2022-07-13 01:03:16
76,Bakel,14.905,-12.4568,90.09,55,8,13.85,SN,2022-07-13 01:03:16
77,Tuatapere,-46.1333,167.6833,43.61,94,100,9.73,NZ,2022-07-13 01:03:17
78,Bengkulu,-3.8004,102.2655,76.44,86,100,2.51,ID,2022-07-13 01:03:17
79,Lac Du Bonnet,50.2536,-96.0612,67.3,80,1,6.11,CA,2022-07-13 01:03:18
80,Tadine,-21.55,167.8833,77.22,83,16,16.71,NC,2022-07-13 01:03:18
81,Assiniboia,49.6334,-105.9845,80.69,36,100,8.48,CA,2022-07-13 01:03:18
82,Mahur,25.1667,93.1167,75.22,88,59,0.85,IN,2022-07-13 01:03:19
83,Khuzhir,53.1939,107.3397,56.86,80,17,0.85,RU,2022-07-13 01:03:19
84,Yar-Sale,66.8333,70.8333,52.12,54,100,6.38,RU,2022-07-13 01:03:06
85,Honiara,-9.4333,159.95,87.71,62,47,7.72,SB,2022-07-13 01:03:20
86,Ginir,7.1333,40.7,55.47,78,97,9.64,ET,2022-07-13 01:03:21
87,Mackay,-21.15,149.2,68.68,50,0,10.31,AU,2022-07-13 01:03:21
88,Talcahuano,-36.7167,-73.1167,50.02,91,100,6.85,CL,2022-07-13 01:02:29
89,Qaanaaq,77.484,-69.3632,40.98,76,99,3.96,GL,2022-07-13 01:04:22
90,Guerrero Negro,27.9769,-114.0611,68.54,76,48,14.5,MX,2022-07-13 01:04:22
91,Valleyview,55.0667,-117.2859,59.38,92,100,10.65,CA,2022-07-13 01:01:46
92,Iqaluit,63.7506,-68.5145,50.7,87,100,8.23,CA,2022-07-13 01:04:23
